id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
468782,Home in Singapore · ★4.69 · 1 bedroom · 1.5 baths,2327208,Jerome,North-East Region,Serangoon,1.36288,103.86575,Private room,46,92,82,2018-06-30,0.59,1,299,0,
481789,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,2386154,Susan,East Region,Tampines,1.34816,103.93238,Private room,37,180,0,,,1,0,0,
606784,Condo in Singapore · ★4.82 · 1 bedroom · 1 bed · 2 baths,813925,Happy,East Region,Tampines,1.34361,103.95717,Private room,83,92,80,2020-02-07,0.72,1,0,0,
642660,Rental unit in Singapore · 1 bedroom · 1 bed · 2 baths,3212572,Roger,Central Region,Rochor,1.30096,103.85206,Private room,164,180,0,,,1,0,0,
654191,Rental unit in Singapore · ★3.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Kallang,1.31221,103.85832,Private room,68,92,3,2016-08-30,0.02,93,363,0,
696136,Home in Singapore · ★4.50 · 1 bedroom · 1 bed · 1 bath,1289033,Grace,Central Region,Bukit Timah,1.30938,103.79812,Private room,100,92,28,2017-08-12,0.21,1,91,0,
733863,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,3824517,Shirlnet,North-East Region,Serangoon,1.36926,103.87312,Private room,26,180,0,,,1,0,0,
747813,Condo in Singapore · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,3926646,John,Central Region,Downtown Core,1.27663,103.84498,Private room,119,92,72,2019-02-27,0.54,3,358,0,
747816,Condo in Singapore · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,3926646,John,Central Region,Downtown Core,1.27585,103.84597,Private room,119,92,26,2018-09-14,0.20,3,365,0,
756267,Rental unit in Singapore · ★4.73 · 1 bedroom · 1 bed · 1 private bath,1584407,Richard,Central Region,Marine Parade,1.30416,103.90076,Private room,250,92,70,2020-10-12,0.53,4,0,0,
765579,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,69,92,2,2019-08-11,0.02,93,357,0,
815685,Rental unit in Singapore · ★4.13 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,Central Region,Bukit Merah,1.29065,103.80941,Private room,55,60,16,2023-02-28,0.13,52,232,1,S0399
819034,Rental unit in Singapore · ★4.78 · 2 bedrooms · 2 beds · 2 baths,1584407,Richard,Central Region,Marine Parade,1.30492,103.90315,Entire home/apt,300,92,40,2019-12-25,0.31,4,0,0,
819044,Rental unit in Singapore · ★4.54 · 1 bedroom · 1 bed · Private half-bath,1584407,Richard,Central Region,Marine Parade,1.30425,103.90097,Private room,150,92,71,2020-07-12,0.54,4,0,0,
823571,Rental unit in Singapore · 1 bedroom · 1 bed,4177147,Tania,East Region,Bedok,1.31313,103.91479,Private room,273,92,0,,,1,0,0,
833289,Condo in Singapore · 1 bedroom · 2 beds · 1 private bath,4360831,Laura,Central Region,Bukit Merah,1.27716,103.82299,Private room,150,730,2,2019-01-25,0.02,1,365,0,
863139,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Kallang,1.3092,103.86339,Private room,58,92,2,2016-12-27,0.02,93,357,0,
881253,Rental unit in Singapore · ★4.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Outram,1.28485,103.84317,Private room,55,92,3,2018-03-09,0.02,93,326,0,
904378,Serviced apartment in Singapore · ★4.71 · 1 bedroom · 1 bed · 1 bath,4837194,Landy,Central Region,River Valley,1.30046,103.82786,Entire home/apt,193,92,34,2016-01-10,0.32,1,163,0,
915275,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Kallang,1.31208,103.85846,Private room,55,92,2,2017-08-07,0.02,93,326,0,
962594,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Kallang,1.30663,103.86243,Private room,48,92,2,2018-12-15,0.03,93,363,0,
982909,Condo in Singapore · ★4.87 · 1 bedroom · 1 bed · 1 private bath,4723385,Yuan,Central Region,Novena,1.33389,103.83454,Private room,70,92,247,2020-07-30,1.94,1,260,0,
1024986,Condo in Singapore · ★4.84 · 1 bedroom · 1 bed · 1 bath,5643415,Martin,Central Region,River Valley,1.29245,103.83742,Entire home/apt,220,92,258,2022-01-14,2.14,1,0,0,
1160252,Home in Singapore · ★4.63 · 1 bedroom · 2 beds · 1 bath,2803932,Mariel,North-East Region,Serangoon,1.36207,103.8643,Private room,80,92,43,2018-05-10,0.34,1,365,0,
1261443,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Outram,1.28458,103.84311,Private room,79,92,3,2017-12-02,0.04,93,357,0,
1363204,Rental unit in Singapore · ★4.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Outram,1.28386,103.84238,Private room,69,92,3,2016-10-14,0.02,93,350,0,
1495386,Earthen home in Singapore · ★4.70 · 1 bedroom · 1 bed · 1 bath,7993224,Violet,East Region,Pasir Ris,1.37975,103.94375,Private room,50,92,10,2021-11-24,0.08,1,265,0,
1508829,Rental unit in Singapore · ★4.14 · 1 bedroom · 1 bed · 3 shared baths,2413412,Kaurus,Central Region,Kallang,1.3072,103.86359,Private room,59,92,9,2021-05-23,0.08,93,326,0,
1562453,Home in Singapore · 1 bedroom · 4 beds · 1 bath,8270362,Domus,Central Region,Novena,1.32359,103.8498,Private room,30,108,0,,,1,0,0,
1581224,Townhouse in Singapore · 4 bedrooms · 12 beds · 4 baths,8408341,Gerard,Central Region,Kallang,1.31108,103.87374,Entire home/apt,130,96,0,,,1,365,0,
1611318,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,8580110,Betty,Central Region,Bukit Merah,1.28419,103.82765,Private room,60,183,0,,,1,0,0,
1615074,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 1.5 baths,2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,79,92,5,2021-06-25,0.07,93,357,0,
1643945,Home in Singapore · 1 bedroom · 2 beds · 1 bath,8725237,Soh,North-East Region,Ang Mo Kio,1.39088,103.85303,Private room,216,92,0,,,1,0,0,
1646909,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,8739736,Serene,West Region,Bukit Batok,1.34126,103.75992,Private room,81,92,0,,,1,0,0,
1654840,Bed and breakfast in Singapore · 1 bedroom · 3 beds · 8 baths,8773916,Superb Hostel,Central Region,Rochor,1.30292,103.858,Private room,90,92,2,2018-01-02,0.03,7,0,0,
1678744,Bed and breakfast in Singapore · ★4.56 · 1 bedroom · 1 bed · 0 shared baths,8881470,Wink,Central Region,Outram,1.28405,103.84424,Shared room,50,92,150,2020-01-31,1.25,5,356,0,
1678754,Bed and breakfast in Singapore · 1 bedroom · 6 beds · 0 baths,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,357,92,2,2018-03-11,0.02,5,186,0,
1678755,Bed and breakfast in Singapore · ★4.67 · 2 bedrooms · 1 bed · 0 baths,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,50,92,93,2020-01-31,0.79,5,351,0,
1710048,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,8948251,Joey,Central Region,Outram,1.28466,103.84255,Private room,53,92,0,,,70,357,0,
1902729,Home in Opera Estate · ★4.67 · 1 bedroom · 1 bed · 1 bath,7644641,Jin,East Region,Bedok,1.3209,103.91569,Private room,49,92,3,2016-05-13,0.03,3,0,0,
1902793,Home in Opera Estate · 1 bedroom · 1 bed · 1 bath,7644641,Jin,East Region,Bedok,1.32204,103.92125,Private room,60,92,2,2016-05-04,0.02,3,0,0,
1941719,Condo in Singapore · ★4.51 · 1 bedroom · 1 bed · 1 shared bath,3926646,John,Central Region,Downtown Core,1.27525,103.84524,Private room,119,92,77,2019-04-25,0.66,3,358,0,
2009008,Home in Singapore · ★4.80 · 1 bedroom · 1 bed · 1 bath,7644641,Jin,East Region,Bedok,1.32301,103.92211,Private room,68,92,5,2015-03-22,0.04,3,0,0,
2030663,Rental unit in Singapore · 1 bedroom · 2 beds · 2 baths,9900768,David,Central Region,Novena,1.32453,103.85255,Private room,343,92,2,2014-07-19,0.02,2,173,0,
2129215,Townhouse in Singapore · ★4.93 · 1 bedroom · 3 beds · 1 bath,7642747,Shirley,East Region,Bedok,1.31936,103.91663,Entire home/apt,185,92,369,2020-03-31,3.13,1,210,0,
2142826,Rental unit in Singapore · ★4.67 · 1 bedroom · 1 bed · 2 baths,9900768,David,Central Region,Novena,1.32485,103.85143,Private room,929,160,21,2016-09-30,0.20,2,179,0,
2156372,Condo in Singapore · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths,6157422,Regina,North-East Region,Hougang,1.36722,103.89765,Private room,60,92,14,2021-04-17,0.13,2,278,0,
2320536,Rental unit in Singapore · ★4.75 · 1 bedroom · 1 bed · 1 bath,11851304,Ammarudin,North Region,Woodlands,1.44076,103.77626,Private room,30,183,5,2014-07-14,0.04,1,0,0,
2351979,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,11990154,Chelsea,Central Region,Singapore River,1.29182,103.83496,Entire home/apt,150,365,0,,,1,0,0,
2387588,Hostel in Singapore · ★4.56 · 1 bedroom · 1 bed · 5 shared baths,12067440,Peggy,Central Region,Kallang,1.3117,103.86028,Private room,80,1,84,2023-09-16,0.75,14,355,14,S0251
2387715,Hostel in Singapore · ★4.55 · 1 bedroom · 1 bed · 5 shared baths,12067440,Peggy,Central Region,Kallang,1.3117,103.86028,Private room,113,1,71,2023-07-28,0.73,14,349,13,S0251
2387730,Hostel in Singapore · ★4.67 · 1 bedroom · 1 bed · 5 shared baths,12067440,Peggy,Central Region,Kallang,1.3117,103.86028,Private room,80,1,33,2023-08-28,0.35,14,351,23,S0251
2691621,Rental unit in Singapore · 1 bedroom · 1 bed · 1.5 shared baths,581033,Nicholas,Central Region,Queenstown,1.30692,103.8007,Shared room,76,92,0,,,1,0,0,
2922184,Aparthotel in Singapore · ★4.47 · 1 bedroom · 1 bed · 1 shared bath,1439258,Kay,Central Region,Queenstown,1.2805,103.78439,Private room,58,60,17,2023-09-02,0.18,52,357,2,S0399
3034137,Rental unit in Singapore · ★4.89 · 1 bedroom · 1 bed · 1 private bath,4422603,Rosanna,North-East Region,Hougang,1.35956,103.88423,Private room,98,92,9,2019-07-27,0.08,1,362,0,
3075620,Condo in Singapore · ★5.0 · 1 bedroom · 1 bed · Shared half-bath,7044509,Katherine,Central Region,Museum,1.29973,103.84658,Private room,110,92,7,2020-06-05,0.06,2,294,0,
3209752,Condo in Changi · ★4.85 · 1 bedroom · 1 bed · 1 private bath,16262927,Jeremy,East Region,Tampines,1.34806,103.95858,Private room,98,92,13,2020-03-02,0.26,1,272,0,
3304326,Condo in Singapore · ★4.75 · 1 bedroom · 1 bed · 1 private bath,16689958,S,East Region,Tampines,1.34798,103.9617,Private room,89,92,10,2018-06-02,0.09,1,362,0,
3349976,Rental unit in Singapore · 1 bedroom · 2 beds · Half-bath,14297490,Flora,East Region,Pasir Ris,1.36449,103.95931,Private room,80,180,0,,,1,0,0,
3667894,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,Central Region,Outram,1.28424,103.84275,Private room,69,92,2,2019-10-29,0.04,93,350,0,
3717196,Hostel in Singapore · ★3.94 · 1 bedroom · 12 beds · 4 baths,17526618,Royal,Central Region,Outram,1.28497,103.84341,Hotel room,31,92,18,2018-10-07,0.16,5,365,0,
3802621,Bed and breakfast in Singapore · ★4.70 · 1 bedroom · 1 bed · 8 baths,8773916,Superb Hostel,Central Region,Rochor,1.30376,103.85923,Private room,58,92,20,2018-02-10,0.21,7,0,0,
3803160,Bed and breakfast in Singapore · ★4.0 · 1 bedroom · 1 bed · 8 baths,8773916,Superb Hostel,Central Region,Rochor,1.30171,103.85959,Private room,90,92,6,2017-07-29,0.06,7,0,0,
3980202,Bed and breakfast in Singapore · ★4.43 · 1 bedroom · 1 bed · 8 baths,8773916,Superb Hostel,Central Region,Rochor,1.30148,103.85813,Private room,58,92,28,2018-08-26,0.26,7,0,0,
3981252,Rental unit in Singapore · 1 bedroom · 1 bed · 1.5 baths,20636569,Chris,East Region,Bedok,1.31786,103.9059,Private room,88,92,2,2019-09-23,0.02,1,0,0,
3990431,Bed and breakfast in Singapore · ★4.30 · 1 bedroom · 1 bed · 8 baths,8773916,Superb Hostel,Central Region,Rochor,1.30348,103.85969,Private room,58,92,10,2017-12-14,0.10,7,0,0,
4008423,Hostel in Singapore · ★4.57 · 1 bedroom · 1 bed · 5 shared baths,12067440,Peggy,Central Region,Kallang,1.31179,103.86002,Private room,80,1,261,2023-09-17,3.14,14,355,44,S0251
4013186,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,20049904,Lenneth,Central Region,Outram,1.27795,103.84109,Private room,950,180,0,,,2,0,0,
4017084,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,20785714,Yock Lian,Central Region,Outram,1.28172,103.84074,Private room,50,180,0,,,1,0,0,
4054698,Hostel in Singapore · ★4.40 · 1 bedroom · 12 beds · 4 baths,17526618,Royal,Central Region,Outram,1.28268,103.84463,Hotel room,31,92,49,2020-01-01,0.46,5,365,0,
4069756,Hostel in Singapore · ★4.35 · 1 bedroom · 12 beds · 4 baths,17526618,Royal,Central Region,Outram,1.283,103.84344,Hotel room,31,92,21,2019-11-19,0.20,5,365,0,
4271250,Rental unit in Singapore · ★4.94 · 1 bedroom · 2 beds · 1 bath,22176293,Yong Xing,Central Region,Tanglin,1.29565,103.82867,Entire home/apt,158,92,170,2018-08-24,1.61,1,176,0,
4441346,Loft in Singapore · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,23053315,Chew Nam,Central Region,Kallang,1.29997,103.88536,Entire home/apt,150,92,5,2020-01-31,0.05,1,0,0,
4486217,Rental unit in Singapore · ★4.22 · Studio · 2 beds · 1 bath,23276884,Faith,North-East Region,Serangoon,1.38763,103.86942,Entire home/apt,106,92,9,2018-07-31,0.08,1,0,0,
4499317,Aparthotel in Singapore · ★4.81 · Studio · 1 bed · 1 bath,23336011,Heritage,Central Region,Downtown Core,1.29489,103.85401,Entire home/apt,185,1,205,2023-09-07,1.90,62,355,55,S0448
4526703,Condo in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,23466247,Willy,Central Region,Kallang,1.30778,103.86171,Private room,200,100,6,2018-06-02,0.06,3,0,0,
4541072,Rental unit in Singapore · ★4.25 · 1 bedroom · 1 bed · 2 shared baths,11390076,Tryston,Central Region,Toa Payoh,1.34081,103.84165,Private room,78,93,16,2019-10-15,0.17,8,289,0,
4541183,Aparthotel in Singapore · ★4.78 · Studio · 1 bed · 1 bath,23336011,Heritage,Central Region,Singapore River,1.28816,103.84826,Entire home/apt,161,1,292,2023-09-20,2.72,62,359,27,Authorised Serviced Apartment
4561032,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,8948251,Joey,Central Region,Kallang,1.31288,103.85792,Private room,55,92,2,2014-11-27,0.02,70,326,0,
4640273,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,24025713,莉,Central Region,River Valley,1.29887,103.83603,Private room,140,92,0,,,1,0,0,
4664392,Home in Singapore · ★4.58 · 1 bedroom · 1 bed · 1.5 baths,7095710,Elise,Central Region,Outram,1.28135,103.84868,Entire home/apt,105,92,103,2022-01-05,0.97,11,347,0,
4712676,Condo in Singapore · 1 bedroom · 1 bed · 1 private bath,24353373,Jeff,North-East Region,Ang Mo Kio,1.36747,103.83865,Private room,59,92,2,2016-05-16,0.02,1,258,0,
4722005,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,23994004,Orion,North Region,Sembawang,1.45328,103.82199,Private room,20,180,0,,,1,0,0,
4731060,Rental unit in Singapore · 2 bedrooms · 1 bed · 2 shared baths,8948251,Joey,Central Region,Kallang,1.313,103.85776,Private room,59,92,0,,,70,357,0,
4741630,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,8948251,Joey,Central Region,Kallang,1.30793,103.86276,Private room,55,92,1,2016-12-18,0.01,70,357,0,
4771752,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,7044509,Katherine,Central Region,Rochor,1.3004,103.84994,Private room,110,92,4,2016-07-31,0.04,2,231,0,
4863317,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,8948251,Joey,Central Region,Outram,1.28511,103.84249,Private room,69,92,1,2016-12-01,0.01,70,357,0,
4869221,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,8948251,Joey,Central Region,Outram,1.28563,103.84212,Private room,55,92,2,2018-02-01,0.03,70,326,0,
4899063,Home in Singapore · 1 bedroom · 3 beds · 2 shared baths,25215454,Don,Central Region,Toa Payoh,1.33305,103.87235,Shared room,46,180,0,,,1,0,0,
4926170,Home in Singapore · ★3.67 · 1 bedroom · 1 bed · 2.5 shared baths,25375339,シン,Central Region,Bishan,1.35349,103.83274,Private room,47,92,4,2020-02-14,0.06,10,364,0,
4926192,Condo in Singapore · 1 bedroom · 2 beds · 1 private bath,25375339,シン,Central Region,Kallang,1.316,103.86134,Private room,150,92,0,,,10,0,0,
4973227,Aparthotel in Singapore · ★4.70 · Studio · 1 bed · 1 bath,23336011,Heritage,Central Region,Downtown Core,1.28945,103.84879,Entire home/apt,149,1,142,2023-09-01,1.36,62,360,17,Authorised Serviced Apartment
4989903,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,25185912,Rebekah,Central Region,Bukit Timah,1.31262,103.79717,Private room,75,92,5,2016-04-23,0.05,17,365,0,
5040689,Townhouse in Singapore · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,11463785,Dianne,North-East Region,Ang Mo Kio,1.37165,103.82881,Private room,42,92,5,2023-08-10,0.07,8,235,2,
5052014,Serviced apartment in Singapore · ★4.69 · Studio · 1 bed · 1 bath,13468566,Andy,Central Region,Outram,1.27428,103.84133,Entire home/apt,250,6,13,2023-02-13,0.13,10,363,2,
5116961,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,4430782,Ethan,Central Region,Bukit Merah,1.28366,103.83188,Private room,165,92,2,2017-12-22,0.02,1,264,0,
5233415,Serviced apartment in Singapore · ★4.76 · Studio · 1 bed · 1 bath,13468566,Andy,Central Region,Bukit Merah,1.27619,103.84074,Entire home/apt,250,6,22,2023-07-30,0.22,10,363,6,
5253599,Rental unit in Singapore · ★4.70 · Studio · 1 bed · 1 bath,11463785,Dianne,Central Region,Kallang,1.3171,103.85742,Entire home/apt,92,92,12,2020-03-02,0.12,8,184,0,
5319766,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,27516195,Leanne,Central Region,Outram,1.28185,103.84657,Private room,160,365,0,,,1,0,0,
5339318,Rental unit in Singapore · ★5.0 · 2 bedrooms · 2 beds · 1 bath,2235699,Yin,Central Region,Rochor,1.30358,103.84575,Entire home/apt,975,92,3,2015-11-09,0.03,2,365,0,
5406502,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,28022338,Bill,East Region,Bedok,1.31279,103.93821,Private room,78,92,0,,,1,0,0,
5436010,Rental unit in Singapore · 1 bedroom · 1 bed · 1 shared bath,26876731,Lynelle,North Region,Yishun,1.41423,103.83382,Private room,129,180,0,,,1,0,0,
5446857,Serviced apartment in Singapore · ★4.33 · Studio · 1 bed · 1 bath,13468566,Andy,Central Region,Bukit Merah,1.27626,103.84073,Entire home/apt,310,6,6,2022-10-01,0.09,10,363,1,
5448209,Serviced apartment in Singapore · ★4.82 · Studio · 1 bed · 1 bath,13468566,Andy,Central Region,Bukit Merah,1.2744,103.84063,Entire home/apt,280,6,11,2023-06-30,0.12,10,362,2,
5464246,Home in Singapore · ★4.91 · 1 bedroom · 1 bed · 1 private bath,26899710,Sebastian,Central Region,Geylang,1.32812,103.88436,Private room,130,92,11,2020-01-26,0.12,2,0,0,
5504230,Condo in Singapore · ★4.43 · 1 bedroom · 2 beds · 1 bath,21149720,Mike,Central Region,Kallang,1.30933,103.85843,Entire home/apt,232,92,9,2018-04-20,0.09,16,0,0,
5529062,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,28378691,Leon,Central Region,Bukit Merah,1.27513,103.83581,Entire home/apt,500,92,0,,,1,365,0,
5551665,Condo in Singapore · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,25185912,Rebekah,Central Region,Bukit Timah,1.31269,103.79714,Private room,68,92,18,2021-09-12,0.17,17,364,0,
5573458,Bungalow in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 private bath,28809566,Property,North Region,Sembawang,1.44061,103.82386,Private room,205,92,3,2017-07-06,0.03,5,364,0,
5582645,Rental unit in Singapore · ★4.54 · 1 bedroom · 1 bed · 3 baths,28946433,Cindy,West Region,Jurong West,1.33444,103.72204,Private room,33,180,13,2016-04-21,0.13,1,85,0,Authorised Serviced Apartment
5584157,Rental unit in Singapore · ★4.59 · 1 bedroom · 1 bed · 1 shared bath,28954164,Michelle,North Region,Woodlands,1.44162,103.79304,Private room,31,92,113,2023-02-25,1.10,5,327,1,
5609608,Rental unit in Singapore · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,28954164,Michelle,North Region,Woodlands,1.44349,103.79264,Private room,36,92,68,2021-01-31,0.67,5,362,0,
5634851,Rental unit in Singapore · ★5.0 · Studio · 1 bed · 1 bath,11463785,Dianne,Central Region,Kallang,1.31486,103.85689,Entire home/apt,95,92,4,2023-08-01,0.04,8,314,1,
5698633,Rental unit in Singapore · 5 bedrooms · 5 beds · 4 baths,29353566,Danielle,Central Region,Downtown Core,1.27989,103.85299,Entire home/apt,720,92,0,,,1,89,0,
5704432,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,28106320,Jeremy,Central Region,Toa Payoh,1.3356,103.86592,Shared room,300,92,0,,,1,0,0,
5774164,Rental unit in Singapore · ★3.88 · 1 bedroom · 1 bed · 1 bath,20639706,Max,Central Region,Geylang,1.31315,103.881,Entire home/apt,1600,92,8,2017-09-21,0.08,1,0,0,
5798211,Home in Singapore · ★4.86 · 1 bedroom · 1 bed · 1 private bath,30080617,Eddie,East Region,Tampines,1.34571,103.96073,Private room,70,92,151,2019-07-10,1.50,5,297,0,
5819462,Rental unit in Singapore · 1 bedroom · 1 bed · 0 shared baths,20712244,Huan,North-East Region,Sengkang,1.38777,103.89649,Shared room,121,92,0,,,1,0,0,
5827713,Home in Singapore · ★4.82 · 1 bedroom · 1 bed · 1 private bath,30080617,Eddie,East Region,Tampines,1.3464,103.96256,Private room,70,92,286,2021-07-30,2.80,5,365,0,
5827998,Home in Singapore · ★4.84 · 1 bedroom · 1 bed · Shared half-bath,30080617,Eddie,East Region,Tampines,1.3446,103.96223,Private room,60,92,296,2019-06-28,2.88,5,96,0,
5882204,Home in Singapore · 1 bedroom · 1 bed · 1 bath,30542551,Allendgs,East Region,Bedok,1.3212,103.91483,Private room,172,92,0,,,1,0,0,
5889741,Condo in Singapore · ★4.80 · 1 bedroom · 3 beds · 1 bath,274002237,Eugene,Central Region,Rochor,1.30153,103.85344,Entire home/apt,191,92,213,2023-07-19,2.08,1,155,1,
5908083,Home in Singapore · ★4.61 · 1 bedroom · 2 beds · 1 bath,7095710,Elise,Central Region,Kallang,1.31642,103.85759,Entire home/apt,110,92,79,2022-05-15,0.79,11,282,0,
5919270,Home in Singapore · ★4.83 · 1 bedroom · 1 bed · 1 private bath,30080617,Eddie,East Region,Tampines,1.346,103.9626,Private room,80,92,248,2022-01-20,2.42,5,365,0,
6020248,Rental unit in Singapore · ★4.29 · 1 bedroom · 1 bed · 1 private bath,25185912,Rebekah,Central Region,Bukit Timah,1.31132,103.79736,Private room,100,92,8,2018-10-02,0.08,17,365,0,
6079533,Condo in Singapore · 1 bedroom · 1 bed · 1.5 shared baths,31557595,Jay,East Region,Pasir Ris,1.35894,103.96465,Private room,50,92,0,,,1,364,0,
6261313,Condo in Singapore · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,25185912,Rebekah,Central Region,Bukit Timah,1.31107,103.79687,Private room,83,92,10,2019-09-15,0.10,17,365,0,
6287204,Condo in Singapore · ★4.80 · 1 bedroom · 2 beds · 1 bath,32683666,Quinn,North Region,Woodlands,1.43012,103.78434,Entire home/apt,180,92,11,2019-07-01,0.11,1,53,0,
6300577,Home in Singapore · ★4.76 · 1 bedroom · 1 bed · 1 bath,26899710,Sebastian,Central Region,Geylang,1.32874,103.88439,Private room,109,92,25,2021-12-09,0.25,2,365,0,
6317686,Rental unit in Singapore · 1 bedroom · 1 bed · Private half-bath,8948251,Joey,Central Region,Outram,1.2841,103.84253,Private room,69,92,1,2016-11-03,0.01,70,356,0,
6340605,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,33019244,Airena,Central Region,Novena,1.32515,103.84914,Entire home/apt,100,365,0,,,1,0,0,
